lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
12.97,77.6,404,45,25114,1003,,1000,1,1,GSM,,,,,,
12.97,77.6,404,45,25115,54682,,1000,1,1,GSM,,,,,,
12.97,77.59,404,86,54117,205165320,,1000,1,1,LTE,,,54117,,,
12.97,77.59,404,86,54117,205897736,,1000,1,1,LTE,,,54117,,,
12.97,77.6,404,45,8251,47371,,1000,1,1,LTE,,,8251,,,
12.97,77.6,404,86,50025,38231,,1000,1,1,GSM,,,,,,
12.97,77.6,404,45,8252,7680,,1000,1,1,LTE,,,8252,,,
12.97,77.6,404,45,8252,47371,,1000,1,1,LTE,,,8252,,,
12.97,77.59,404,86,54117,205837832,,1000,1,1,LTE,,,54117,,,
12.97,77.6,404,86,19006,44641,,1000,1,1,GSM,,,,,,
12.97,77.59,404,45,8251,463617,,1000,1,1,LTE,,,8251,,,
12.97,77.6,404,86,51118,61293,,1000,1,1,GSM,,,,,,
12.97,77.59,404,86,31402,14272,,1000,1,1,GSM,,,,,,
12.97,77.59,404,45,9061,8243,,1000,1,1,GSM,,,,,,
12.97,77.6,404,45,34021,26366653,,1000,1,1,UMTS,,,,,,
12.97,77.6,404,71,10004,33091501,,1000,1,1,UMTS,,,,,,
12.97,77.6,404,71,3310,20345672,,1000,1,1,UMTS,,,,,,
12.97,77.6,404,45,8252,47401,,1000,1,1,LTE,,,8252,,,
12.97,77.59,404,86,61111,6914,,1000,1,1,GSM,,,,,,
12.97,77.6,404,86,19006,4791,,1000,1,1,GSM,,,,,,
12.97,77.6,404,86,19006,31321,,1000,1,1,GSM,,,,,,
12.97,77.6,404,45,34022,26345773,,1000,1,1,UMTS,,,,,,
12.97,77.59,404,45,25111,1323,,1000,1,1,GSM,,,,,,
12.97,77.6,404,86,54103,204855304,,1000,1,1,LTE,,,54103,,,
12.97,77.59,404,86,54117,207029510,,1000,1,1,LTE,,,54117,,,
12.97,77.6,404,45,8252,7681,,1000,1,1,LTE,,,8252,,,
12.97,77.59,404,45,8251,1117707,,1000,1,1,LTE,,,8251,,,
12.97,77.59,404,44,1019,27751,,1000,1,1,GSM,,,,,,
12.97,77.6,404,86,21401,20402402,,1000,1,1,UMTS,,,,,,
12.97,77.6,404,45,25114,8822,,1000,1,1,GSM,,,,,,
12.97,77.59,404,45,8252,542209,,1000,1,1,LTE,,,8252,,,
12.97,77.6,404,45,8252,7700,,1000,1,1,LTE,,,8252,,,
12.97,77.59,404,45,34022,26366655,,1000,1,1,UMTS,,,,,,
12.97,77.6,404,45,34022,26353153,,1000,1,1,UMTS,,,,,,
12.97,77.6,404,86,31102,38231,,1000,1,1,GSM,,,,,,
12.97,77.59,404,44,41112,10885417,,1000,1,1,LTE,,,41112,,,
12.97,77.6,404,45,25115,302,,1000,1,1,GSM,,,,,,
12.97,77.6,404,86,54117,205897735,,1000,1,1,LTE,,,54117,,,
12.97,77.59,404,86,19006,13,,1000,1,1,GSM,,,,,,
12.97,77.59,404,44,41112,11205931,,1000,1,1,LTE,,,41112,,,
12.97,77.6,404,45,26633,48572,,1000,1,1,GSM,,,,,,
12.97,77.6,404,45,8251,47362,,1000,1,1,LTE,,,8251,,,
12.97,77.6,404,44,41114,11064873,,1000,1,1,LTE,,,41114,,,
12.97,77.59,404,45,25114,303,,1000,1,1,GSM,,,,,,
12.97,77.6,404,45,25114,27052,,1000,1,1,GSM,,,,,,
12.97,77.6,404,86,21102,20419313,,1000,1,1,UMTS,,,,,,
12.97,77.6,404,45,8252,206895656,,1000,1,1,LTE,,,8252,,,
12.97,77.59,404,71,125,25402,,1126,1,1,GSM,,,,,,
12.97,77.59,404,45,8252,179708170,,1000,1,1,LTE,,,8252,,,
12.97,77.59,404,86,54117,207098118,,1000,1,1,LTE,,,54117,,,
